Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
1,Month wise and Port wise Import of Chemical Fertilizers (MOP) - November and December (2014-2015),0accb56b-525f-4408-a45b-67d4bd25bdc2,2017-06-09,0,0
2,Month-wise and Port-wise Import of Chemical Fertilizers [MOP]- April-July 2014,9aacbfc0-8982-489a-b4b7-be5246e2848d,2017-06-09,0,0
3,Karnataka Agricultural Market Data for 2012,3e87c431-9c00-4a11-8d32-00bf9c6bd967,2017-05-25,0,0
4,State wise and Month wise Requirement and Availability of Chemical Fertilizers - From January to December (2013-14),28b9e875-1e50-4b23-96e0-5085472f38a1,2017-08-22,0,0
5,Product wise and Month wise Production of Chemical Fertilizers- August-October 2014,61a38b45-4b61-4896-828f-6614aa510d18,2017-08-28,0,0
6,Total budget and expenditure of State Agricultural Universities,93170d01-618b-42dc-967b-30181a69a31c,2017-08-28,0,0
7,Details Of Year-wise Subsidy On Fertilizer Products,2e0e6c04-97f2-456b-9309-bf605650cb11,2017-05-25,0,0
8,"Year-wise Damage Caused Due To Floods, Cyclonic Storm, Landslides etc",f5fc3381-dfca-4b22-bf10-dd8f03996b05,2017-06-09,0,0
9,"Physical Performance of the Districts - Based on Sample Survey, 2010",1d4f9533-4ab3-4b45-9d7a-9f73d7812c4c,2017-05-25,0,0
10,Details of estimates of milk production from exotic/crossbred cows during 2008-09 to 2012-13,eb48e4e0-70d0-4171-a1cf-8d9dcd3dad0b,2017-06-09,0,0
11,Estimates of egg production during 2008-09 to 2012-13,a518a974-7fcc-4775-bd7a-5620a5e4cda2,2017-06-09,0,0
12,Details of estimates of wool production from ewes during 2008-09 to 2012-13,2ee0519b-395a-4a09-9835-89fed83714c4,2017-06-09,0,0
13,State/UT-wise Estimates of Meat Production - 2007-08 to 2011-12,eede411f-1c49-4b02-b50c-6e9ac431f289,2017-06-09,0,0
14,State/UT-wise Estimates of Milk Production by Buffalo during 2007-08 to 2011-12,8afc3615-873a-4396-920d-9fbb89e005ea,2017-06-09,0,0
15,Farmers Queries in Kisan Call Centre (KCC) from Tarn Taran district of Punjab for the month of January 2015,98e913ba-c50d-4cd2-9671-7ca4f569952f,2020-09-22,0,0
16,Farmers Queries in Kisan Call Centre (KCC) from Bhatinda district of Punjab for the month of April 2015,74066b33-0795-42ce-ade8-11972851c590,2020-09-22,0,0
17,Farmers Queries in Kisan Call Centre (KCC) from Rayagada district of Odisha for the month of March 2015,9d4d9e46-5e8c-4dae-bedc-2c95d0dc28c3,2020-09-22,0,0
18,Farmers Queries in Kisan Call Centre (KCC) from Sehore district of Madhya Pradesh for the month of September 2015,ac7ef435-ead8-4888-8fd2-bf17d9f3c6b9,2020-09-22,0,0
19,Farmers Queries in Kisan Call Centre (KCC) from Shahdol district of Madhya Pradesh for the month of April 2015,b5fc6e3c-2e01-478a-a938-ea976d66ad65,2020-09-22,0,0
20,Farmers Queries in Kisan Call Centre (KCC) from Erode district of Tamil Nadu for the month of January 2015,ff7e844e-af37-4b43-a183-ff54f1f09ef5,2020-09-22,0,0
21,Farmers Queries in Kisan Call Centre (KCC) from Hoshangabad district of Madhya Pradesh for the month of June 2015,981c7ca5-0fe7-480f-8a47-fc7b3adeeb0d,2020-09-22,0,0
22,Farmers Queries in Kisan Call Centre (KCC) from West Tripura district of Tripura for the month of December 2015,ee0def23-f41a-4588-9a6c-a5a1711c40dd,2020-09-22,0,0
23,Farmers Queries in Kisan Call Centre (KCC) from Beed district of Maharashtra for the month of December 2015,840f320e-c1bf-4540-9b08-d03cba61b4aa,2020-09-22,0,0
24,Farmers Queries in Kisan Call Centre (KCC) from Ghaziabad district of Uttar Pradesh for the month of September 2015,89a34da2-1fd4-4b92-877f-bbddee312eff,2020-09-22,0,0
25,Farmers Queries in Kisan Call Centre (KCC) from Lucknow district of Uttar Pradesh for the month of January 2015,949ccd68-61c5-47cb-9763-e9110a3324e2,2020-09-22,0,0
26,Farmers Queries in Kisan Call Centre (KCC) from Anuppur district of Madhya Pradesh for the month of January 2015,0d2d6191-9400-4293-8ff1-7ea52efb3b84,2020-09-22,0,0
27,Farmers Queries in Kisan Call Centre (KCC) from Mumbai district of Maharashtra for the month of February 2015,cf9557e3-d03c-4c66-a952-4b7d43e26e1d,2020-09-22,0,0
28,Farmers Queries in Kisan Call Centre (KCC) from Betul district of Madhya Pradesh for the month of July 2015,c36401d7-c750-4df5-8ccb-fb2eea230e79,2020-09-22,0,0
29,Farmers Queries in Kisan Call Centre (KCC) from Thiruvallur district of Tamil Nadu for the month of July 2015,dc2b7979-b1a0-406d-8340-c5dfafe07b0e,2020-09-22,0,0
30,Farmers Queries in Kisan Call Centre (KCC) from Haveri district of Karnataka for the month of September 2015,286ab7aa-aaa5-4c9a-a958-fea83eac5114,2020-09-22,0,0
31,Farmers Queries in Kisan Call Centre (KCC) from Sambalpur district of Odisha for the month of March 2015,1e8f0155-34ec-4885-ab90-bd3b588962c0,2020-09-22,0,0
32,Farmers Queries in Kisan Call Centre (KCC) from Ajmer district of Rajasthan for the month of March 2015,a2781f87-57ce-4c01-8318-ff3eb19977e0,2020-09-22,0,0
33,Farmers Queries in Kisan Call Centre (KCC) from Neemach district of Madhya Pradesh for the month of November 2015,5ebfe9ff-d88d-4f74-afb7-6d35cfb2929a,2020-09-21,0,0
34,Farmers Queries in Kisan Call Centre (KCC) from Kanniya Kumari district of Tamil Nadu for the month of March 2015,47cd9bfa-aa5f-486d-ab0a-6c5a330035a7,2020-09-21,0,0
35,Farmers Queries in Kisan Call Centre (KCC) from Yadagiri district of Karnataka for the month of September 2015,40042d22-9c88-4257-8ebc-17fe1e1e099b,2020-09-22,0,0
