Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
1,State-wise literacy rates and increase in literacy rates as per Census during 2001 and 2011 (From: Ministry of Human Resource Development) - Andhra Pradesh,f7d34594-f40d-42a3-990e-fd9a5fe2b7f5,2026-02-26,36,13
2,Industry : State-wise LPG coverage based on 2011 census - as on 01.11.2015 (From: Ministry of Petroleum & Natural Gas),191a19df-3b29-4af7-8983-3c793b2251b5,2026-02-25,41,7
3,98 Low Female Literacy Rate districts having female literacy rate below 50 per cent in the age group of 7 and above as per Census 2011 (From: Ministry of Human Resource Development) - Assam,c5862520-b76f-45f7-aba6-349ff393bb0d,2026-02-25,98,6
4,"State/UT-wise Average Size of Holdings as per results of Agriculture Census 2015-16 (in reply to Unstarred Question on 30 July, 2021) - Bihar",8b560d75-7c54-45c5-b12c-b781faf8199a,2026-02-25,37,7
5,State-wise Data of First Census of Water Bodies - Kerala,9296cf6b-681a-4d0d-942f-b0008967a5d2,2026-02-12,55734,57
6,6th Minor Irrigation Census - Village Schedule - Telangana,22f2404e-987f-4cc6-a7d2-acf19b78e767,2026-02-10,10805,21
7,6th Minor Irrigation Census - Village Schedule - Uttar Pradesh,ed384a7f-1ebd-4d37-9843-f88648ad2e04,2026-02-10,106402,21
8,6th Minor Irrigation Census - Village Schedule - Maharashtra,1b8f4a33-932f-4309-8fff-7dd385e6a44e,2026-02-10,43945,21
9,6th Minor Irrigation Census - Village Schedule - Bihar,b2e65935-1d13-481f-9497-4ba320b12e65,2026-02-10,45077,21
10,Maharashtra 20th Livestock Census 2019 Village wise,b0d03323-d4fb-44f8-b2a7-759cecdb0581,2026-02-10,45444,45
11,Asian Waterbird Census (AWC) in Panvel Municipal Corporation during 2023,77189df2-fa42-4370-ad65-d660593645cd,2026-02-10,10,14
12,State-wise Data of First Census of Water Bodies - Haryana,8f1b9e3a-f667-48bc-8cf8-1c9804e74188,2026-02-10,14898,57
13,State-wise Data of First Census of Water Bodies - Karnataka,e753fecc-c9b5-4d47-8190-01c472b627bc,2026-02-10,27013,57
14,State-wise Data of First Census of Water Bodies - Assam,c4c12517-3e64-4607-b30c-e265b5e65ddb,2026-02-10,72119,57
15,State-wise Data of First Census of Water Bodies - Tamil Nadu,f252ddd7-3858-4bd1-93ca-473d84a1f0ee,2026-02-10,106957,57
16,State-wise Data of First Census of Water Bodies - Telangana,b20be502-8d39-4871-8a0a-b5a8a2e64af4,2026-02-10,64055,57
17,State-wise Data of First Census of Water Bodies - Odisha,11789cf9-5bd9-46dd-a281-47bce9f4035e,2026-02-10,61802,57
18,State-wise Data of First Census of Water Bodies - Madhya Pradesh,3a6bfb77-151c-47dc-b32e-76262e33499a,2026-02-10,82643,57
19,State-wise Data of First Census of Water Bodies - Maharashtra,e1874d07-a1db-4678-80c1-b64a2924b517,2026-02-10,97062,57
20,State-wise Data of First Census of Water Bodies - Jharkhand,1f0c45f0-5ab2-4173-9eb6-caa2834fd835,2026-02-10,107598,57
21,State-wise Data of First Census of Water Bodies - Himachal Pradesh,85dba4a4-aa80-4b86-a981-4bf795ea25b4,2026-02-10,88017,57
22,State-wise Data of First Census of Water Bodies - Gujarat,f5d646d9-1d4f-4f02-a4e7-51c9e2013e52,2026-02-10,54069,57
23,State-wise Data of First Census of Water Bodies - Bihar,62d606fd-84c2-44d6-8d36-5df2b52dc316,2026-02-10,45793,57
24,State-wise Data of First Census of Water Bodies - West Bengal,2acda64a-42df-405f-8432-ae05829d3eac,2026-02-10,54876,57
25,State-wise Data of First Census of Water Bodies - Chhattisgarh,0fa810a8-e3c5-4417-9e82-a34a9c49a4b0,2026-02-10,34000,57
26,State-wise Data of First Census of Water Bodies - Uttar Pradesh,f5edece1-1ff0-4bc0-b8f9-9e97444040d7,2026-02-10,41435,57
27,State-wise Data of First Census of Water Bodies - Andhra Pradesh,a4a8e000-2371-4476-af09-1293ef642e9a,2026-02-10,21052,57
28,State-wise Data of First Census of Water Bodies - Andaman and Nicobar Islands,7614394c-6d7b-4378-89c8-ea9fac32ac91,2026-02-10,3528,57
29,State-wise Data of First Census of Water Bodies - Sikkim,7ba1045c-ab47-4c41-86a2-aa9b8ac7f718,2026-02-10,119,0
30,State-wise Data of First Census of Water Bodies - Rajasthan,76783971-9801-416c-b8b5-2f52d781756a,2026-02-10,16939,57
31,State-wise Data of First Census of Water Bodies - Meghalaya,dfae7e51-485a-4617-91e3-bfbe9f4817b6,2026-02-10,13332,57
