Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
1,State/UT-wise Dropout Rate by Level of Education in the Country from 2017-18 to 2021-22 - Andhra Pradesh,40920749-6ebe-49ec-8799-0f76d6bf6d2f,2026-02-26,110,0
2,State-wise enrolment for Minority Females in Higher Education during 2013-14 (From: Ministry of Human Resource Development) - Arunachal Pradesh,1aba343b-452b-46cc-990e-64546153ca2b,2026-02-25,281,0
3,State-wise Beneficiaries Covered in Strengthening Education among ST Girls in Low Literacy Districts from 2018-19 to 2021-22 - Assam,f7a06f20-1df2-40ed-8759-369a213a0b89,2026-02-25,456,0
4,State-wise Funds Released under the Scheme of Strengthening Education among ST Girls in Low Literacy Districts and Scheme of Vocational Training in Tribal Areas from 2018-19 to 2020-21 - Bihar,7da45ed5-cc9e-4cf6-8e08-725fe9da585e,2026-02-25,272,0
5,Year-wise Funds Released under the National Fellowship and Scholarship for Higher Education for ST Students and National Overseas Scholarship for ST Students Schemes from 2018-19 to 2021-22 - Chhattisgarh,631d4c01-fa57-43d0-9c26-3cb9e4c0411b,2026-02-25,262,0
6,State/UT-wise Data on Dropout Rates of Girl Students in Secondary and Elementary Education Level from 2016-17 to 2019-20 - Goa,5f294d1b-8a31-4301-b2ff-0ade1975e6e0,2026-02-25,482,0
7,State/UT-wise Unemployment Rate for Persons of Age 15 Years and Above of different General Education Level According to Usual Status (ps+ss) Approach to the Extent Available PLFS during 2019-20 - Gujarat,fb321585-b0db-4e32-a6f6-95e5c7f62a74,2026-02-25,317,0
8,"State/UT-wise Number of Projects Approved under Information, Education and Communication (IEC) Activities from 2021-22 to 2024-25 - Haryana",eb82adde-28a9-45f4-ae75-e28cb360e0ee,2026-02-24,172,0
9,"District-wise Population, Beds and Doctors Ratio in 2017-18 by Director of Medical Education (DME) : SHB 2019",88e6ecaa-4ced-4322-a0a7-104869ae0052,2026-02-13,393,0
10,"State/UT-wise Number of Enrolment of Students by Gender, School Management and Level of School Education during 2021-22 - Himachal Pradesh",049d64ee-24ed-483f-b84f-00b525516552,2026-02-10,452,0
11,"State, UT &amp; City-wise Educational Status of Suicide Victims during 2000 - Jharkhand",56cd6f9a-a917-4893-ba6f-780075a116c8,2025-10-10,286,0
12,Educational wise Break up of jobseekers registered with Employment Exchanges in Kerala as on 31/10/2019,e685e849-bba8-47d0-b99f-41ed6f03dee9,2025-09-30,86,0
13,"Educational Institutions, Scholars And Expenditure (All India) - Karnataka",70331cda-6b76-4fa9-9b26-7402b8cb07a5,2025-09-30,144,0
14,Year-wise Budget Allocation of Department of Agricultural Research and Education (DARE) from 2018-19 to 2020-21 - Kerala,3ea6c9f4-c2f3-4551-ac8d-4689a8242a68,2025-09-14,453,0
15,Year-wise Details of Funds Allocated/Released to the State Government of Kerala under various Schemes of the Ministry of Education from 2019-20 to 2023-24,14c01306-1c61-41f2-89b9-f1784ecf64d7,2025-09-14,338,0
16,State/UT-wise Number of Schools by Level of School Education during 2021-22 - Madhya Pradesh,dd3a1ba6-27bd-4d99-b468-832de2c582e8,2025-09-13,52,0
17,State/UT-wise Number of Enrolment of Students - Government Schools Management and Level of School Education during 2021-22,ff6dca55-6a53-49f1-957f-3eda5e68760b,2025-09-13,92,0
18,"Number Of Recognised Educational Institutions Of Higher Learning, All India And State wise - Manipur",3ccbd5b2-b7df-43fe-94e0-892821221f4d,2025-09-13,376,0
19,Colleges for Professional Education 2011-12 (Excluding Engineering Colleges) : SHB 2013,7c2cad56-2c40-43d7-b7e0-b811b7db798b,2025-09-13,411,0
20,Current enrolment across different education level in Higher Education - Meghalaya,e448dca6-613b-4413-af1e-337a61dcec4d,2025-08-31,328,0
21,Education : Satna 2015-18,fbb2e1c6-7316-44f8-ab7b-9ab3318b7252,2025-08-31,485,0
22,District-wise Percentage of Educational Infrastructure in Government Schools of Uttar Pradesh as per UDISE during 2023-24,3507eb0c-2f11-4f17-80f8-ebf2d02a19d6,2025-08-13,378,0
23,State/UT-wise Details of Central Sponsored Scheme (CSS) for Augmenting Nursing Education during 2023-24 and 2024-25 - Mizoram,e2fdd057-dc7f-4dfb-b620-2cb77842f6e7,2025-08-13,116,0
24,"Year-wise Details of Information, Education and Communication (IEC) Funds Allocated and Utilized at Centre Level under Swachh Bharat Mission-Grameen (SBM-G) from 2014-15 to 2022-23 - Nagaland",a1425860-4369-481c-827b-a7ab7d5f24af,2025-08-12,450,0
25,Year-wise Total Number of Students Received the Scholarship for Higher Education (SHE) under Innovation in Science Pursuit for Inspired Research (INSPIRE) Scheme form 2022-23 to 2024-25 - Odisha,bd2665cb-229c-4174-978a-41aa5b0fa47d,2025-08-11,182,0
