Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
1,State-wise Details of Funds Allocated for Rural Local Bodies under 15th Finance Commission Grants from 2021-22 to 2023-24 - Andhra Pradesh,3f6dbe97-10d3-4bff-ad7c-826c57ed452b,2026-02-26,238,0
2,Bank-wise Gross NPAs And Gross NPAs To Gross Advances as on March 2015 (From: Ministry of Finance) - Arunachal Pradesh,f86a6678-1c80-4819-ae25-83127d5e76f6,2026-02-25,328,0
3,District-wise Number of Bank Branches in the State of Bihar during 2015 (From: Ministry of Finance),7a32b114-da38-49c3-84d5-7e3b4e28a516,2026-02-25,375,0
4,"Bank-wise, Gross NPAs from 2012 to 2015 (From: Ministry of Finance) - Assam",0a4eb3ad-8746-4e9a-9150-dfa5114ed232,2026-02-25,250,0
5,"State-wise position of small and marginal farmers who could not get benefits under ADWDRS, 2008 in respect of Cooperative Banks and Regional Rural Banks(RRBs) (From: Ministry of Finance) - Bihar",393c40e4-ae07-4d86-8749-c5d873c90e87,2026-02-25,290,0
6,State-wise outstanding agricultural loan in respect of Cooperative Banks and Regional Rural Banks(RRBs) as on 30.9.2015 (From: Ministry of Finance) - Chhattisgarh,a2fa1793-b79a-47b3-abe9-87974d89316b,2026-02-25,162,0
7,"State-wise Annual Priority Sector Advances - PSA, Commercial Banks - Agriculture Outstanding from 2013 to 2015 (From: Ministry of Finance)",49093878-2c46-43f1-8a24-c7a7bb3938ac,2026-02-25,146,0
8,Overdraft data under Prime Ministers Jan Dhan Yojana - PMJDY as on 04.12.2015 (From: Ministry of Finance),2a41cb00-d284-4048-8e24-be5c92faf3eb,2026-02-25,225,0
9,State-wise muslim beneficiaries financed by State Channelizing Agencies (SCAs) from 2010-11 to 2014-15 (From: Ministry of Minority Affairs) - Haryana,4891249b-dafb-4f01-996c-3bd16391b1fb,2026-02-25,66,0
10,Complaints Received By the Offices of the Banking Ombudsman - 2014-15 (From: Ministry of Finance),32abb1f5-44f3-40ae-ae98-7746d48b4957,2026-02-25,238,0
11,Vacancies and recruitment/allotment in Public Sector Banks (PSBs) from 2013-14 to 2015-16 (From: Ministry of Finance) - Jharkhand,a1c161dd-e637-462d-a16f-b5bcee777301,2026-02-25,471,0
12,Agriculture Credit Target and Achievement of Bank from 2012-13 to 2015-16 (From: Ministry of Finance) - Karnataka,c9f85620-83c9-440c-81af-b1ce9c508b8b,2026-02-25,350,0
13,"Profit & Loss Account of Bhartiya Mahila Bank Limited for the period ended 31st March, 2015 (From: Ministry of Finance) - Kerala",425a92f5-3be2-44d4-996d-94b5d9b88e9b,2026-02-25,476,0
14,"Annual Priority Sector Advances - PSA, Commercial Banks - Agriculture (Indian Banks) Outstanding from 2013 to 2015 (From: Ministry of Finance)",e09c4bf3-7388-49ec-928f-7e8e24785a5f,2026-02-25,106,0
15,State-wise Disbursement made to State Scheduled Tribes Finance and Development Corporations (STFDCs) from 2018-19 to 2020-21 - Maharashtra,75f01dee-c36e-47dd-97a0-53a0df8282c4,2026-02-25,344,0
16,State/UT-wise Details of Funds Released under the National Clean Air Programme and 15th Finance Commission from 2019-20 to 2024-25 - Manipur,67fa576c-1968-415b-98e6-9e394d3b6048,2026-02-24,214,0
17,Panchayat Finance Data 2020-2021 - Meghalaya,52daaedf-3dea-443f-89ea-8696a46ae681,2026-02-13,245,0
18,"Bank-wise Disbursed Amount under Pradhan Mantri Mudra Yojana (PMMY) to Non-Performing Assets (NPAs) as on 31 March, 2019 (From: Ministry of Finance) - Mizoram",c50b55cf-32b0-48c8-8aaa-b91b945c326f,2025-10-10,145,0
19,Category-wise Details of Proposed to Revise Tax Rate Structure in the New Tax Regime Finance Bill during 2025-26 - Nagaland,f4456a86-72c3-4d89-8e74-bf9e3cdd0cce,2025-08-13,453,0
