Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
1,"State/UT-wise Details of Existing Central Government Health Schemes (CGHS) Dispensaries (Alopathy/AYUSH) alongwith Number of Doctors, Paramedical and Non-medical Staff as on 05-12-2024 - Andhra Pradesh",f55f64f0-3511-475a-9975-82485150933b,2026-02-26,457,0
2,"State/UT-wise Details of Newly Opened Central Government Health Schemes (CGHS) Dispensaries alongwith Number of Doctors, Paramedical and Non-medical Staff from 01-01-2019 to 05-12-2024 - Arunachal Pradesh",3f68f5f2-5b03-45bb-9186-5a92598f9fea,2026-02-26,495,0
3,Year-wise Details of Fund Allocation and Utilization under Niramaya Health Insurance Scheme from 2021-22 to 2023-24 - Assam,3f9a9cfa-f6b6-4473-8055-52f87929a3b3,2026-02-26,151,0
4,Year-wise Details of Government Health Expenditure (GHE) as per the available National Health Accounts from 2017-18 to 2021-22 - Bihar,b5f2089a-85da-42db-aef2-3f4e87c0a18c,2026-02-26,252,0
5,State/UT-wise Details of Support Provided along with Approval Component under Centrally Sponsored Scheme (CSS) of Pradhan Mantri Ayushman Bharat Health Infrastructure Mission (PM-ABHIM) from 2021-22 to 2025-26 - Chhattisgarh,55cf1b3a-22bc-4985-aff2-385319b982a9,2026-02-26,80,0
6,State/UT-wise Details of Government Health Expenditure (GHE) as per the available National Health Accounts from 2017-18 to 2021-22 - Goa,f3f482c4-eeb8-47e5-89b3-0a04cfa81b03,2026-02-26,77,0
7,Indicators -wise Status of Maternal and Child Health Indicators in Konkan Region (in reply to Unstarred Question as on 3rd December 2024) - Gujarat,00e08f38-be4b-4057-8a98-5b4ff46cb677,2026-02-26,447,0
8,"State-wise number of Doctors At Primary Health Centres PHC as on 31st March, 2014 (From: Ministry of Health and Family Welfare) - Haryana",ee1d7610-7a54-46aa-970e-d61afead9ff4,2026-02-26,334,0
9,"State-wise number of Health Assistants [Male] / LHV at PHCs as on 31st March, 2014 (From: Ministry of Health and Family Welfare) - Himachal Pradesh",8dec36bd-ba36-43ec-8c1d-fb378aa53cfa,2026-02-26,50,0
10,"State-wise number of Health Assistants [Female] / LHV at PHCs as on 31st March, 2014 (From: Ministry of Health and Family Welfare) - Jharkhand",7c01876c-8960-49b4-83af-30c601165446,2026-02-26,364,0
11,"State-wise number of Health Worker [Male] at Sub Centres as on 31st March, 2014 (From: Ministry of Health and Family Welfare) - Karnataka",f7735da6-a657-49f3-b4b0-1eb632cdedd3,2026-02-26,259,0
12,"State-wise number of Pharmacists at Primary Health Centres (PHCs) & central health centre (CHCs) as on 31st March, 2013 (From: Ministry of Health and Family Welfare) - Kerala",45870415-b8f0-41aa-981f-19689e9b443f,2026-02-26,91,0
13,"State-wise number of Radiographers at central health centre (CHCs) as on 31st March, 2013 (From: Ministry of Health and Family Welfare) - Madhya Pradesh",8f9febb5-f2c8-476f-a746-20fd3f2cb3e9,2026-02-26,359,0
14,"State-wise number of doctors at primary health centres as on 31st March, 2013 (From: Ministry of Health and Family Welfare) - Maharashtra",2f73bdf9-9c67-49bd-8206-0fbe589c9fc5,2026-02-26,223,0
15,"State-wise number of health assistant [Male] at PHCs as on 31st March, 2013 (From: Ministry of Health and Family Welfare) - Manipur",83ad9c63-899f-45cd-acdc-a7cf082bb6ac,2026-02-26,441,0
16,"State-wise number of health worker [Male] at sub centres as on 31st March, 2013 (From: Ministry of Health and Family Welfare) - Meghalaya",4530aa99-9825-494f-ab25-990d6b7191ec,2026-02-26,296,0
