Serial Number,Dataset Name,Resource ID,Published Date,Number of Rows,Number of Columns
1,Details of National Highway (NH) projects assigned to private companies under Build-Operate-Transfer (BOT) mode upto 2015 (From: Ministry of Road Transport and Highways) - Andhra Pradesh,ddbc0a17-2b00-4433-982d-07a31e278f59,2026-02-26,308,0
2,Total expenditure incurred execute National Highways (NH) projects across the country from 2012-13 to 2015-16 (From: Ministry of Road Transport and Highways) - Arunachal Pradesh,842e1120-a633-48c7-8025-db9e61090b54,2026-02-25,130,0
3,State-wise construction and progress made in laying of National Highways (NHs) from 2012-13 to 2014-15 (From: Ministry of Road Transport and Highways) - Assam,fd883b96-e479-4291-b4f6-5e2f1f31a92b,2026-02-25,230,0
4,State / UT-wise details of works sanctioned for development of National Highways (NHs) along with the details of the estimates pending during 2015-16 (From: Ministry of Road Transport and Highways) - Bihar,6e8be212-3703-40d2-88e0-bd6f948bb58e,2026-02-25,451,0
5,Statistics of Annual Passenger Water Transport in Maharashtra from 2022-23 to 2024-25,aad4ae5e-5229-496e-8405-4c5b29069e19,2026-02-13,228,0
6,Mode of Transport-wise Number of Persons Died in Road Accidents in All India during 2023 - Chhattisgarh,20f6c383-c15f-4211-ace8-f9422c5459ed,2025-12-03,250,0
7,State/UT/City-wise and Mode of Transport-wise Number of Persons Died in Road Accidents during 2023 - Goa,b9e94cf9-9068-4d8d-a150-bfc6c77fd068,2025-12-03,243,0
8,Staff  Position of Road Transport Corporations in Karnataka for the month of April 2022,0d26b2eb-76ba-432e-9563-de936983d7ab,2025-10-10,270,0
9,Citybus Transport Ahmedabad,98ef8f70-6bb7-4cd9-9716-e0414aef99af,2025-09-14,415,0
10,Public Transport Accessibility : ERODE : 2019,1bf466c0-bd7c-4140-a5f2-fb8c7f8423a3,2025-09-14,411,0
11,Year-wise Revenue Realised from Road Transport (States) from 1950-51 to 2020-21 - Gujarat,8df6de0f-158d-4bed-b8b0-0cb75cff1a7a,2025-09-14,472,0
12,States/UTs-wise and category wise number of Total Registered Transport(Transpot) Motor Vehicles (Category-wise) as on 31.3.2020 - Haryana,dcb91c7b-1292-4c7f-8ac6-b920a485af06,2025-09-13,175,0
13,Carbon Dioxide Emissions From Various Transport Modes In India - Himachal Pradesh,0ab72393-58be-497a-b6cb-2813e613437c,2025-09-13,339,0
14,Year-wise Revenue Realised from Road Transport (Centre) from 2009-10 to 2018-19 - Jharkhand,9ef423d7-0e23-4a3c-b276-5481087e52ed,2025-08-31,290,0
15,Number of Registered Motor Vehicles (Transport &amp; Non-Transport) Jammu &amp; Kashmir from 1996-97 to 1997-1998 - Karnataka,77e2908a-ecea-4afc-8e86-db8bbb16f6e8,2025-08-31,272,0
16,Public Transport Access : AURANGABAD : As on Jan 2019,fb35a0d0-2ff6-4a4b-8b75-2456509fe84a,2025-08-31,374,0
17,Transportation Patna,396bb6cc-8bd2-432f-adf1-a3f57fd179a4,2025-08-31,213,0
18,State-wise Details of the Urban Rail Based Transport Systems That Have Started Functioning/operationalized in the Country from 2014 to 2023 - Kerala,43e98959-62a2-49eb-845f-b0aae25fa81e,2025-03-27,420,0
19,State/UT-wise Details of Urban Rail Based Transport Systems That Are Under Construction in the Country as on 28-11-2023 - Madhya Pradesh,9d5276f3-df17-4c22-bac9-e86ca603dd64,2025-03-27,481,0
20,State/UT-wise Details of Rail Based Urban Transport Systems in the Country That Were Conceptualized and Sanctioned from 2014 to 2023 - Maharashtra,61e78ef4-7344-4c64-b025-d813bebd8038,2025-03-27,325,0
21,"Year-wise Details of Funds released for Initiatives of Model Driving Training Institutes/Centres, Model Inspection and Certification Centres, Public Transport System from 2020-21 to 2022-23 - Manipur",a89a0c25-2e2a-4324-90e1-7f6f5f57f8cd,2025-03-27,124,0
22,"Category-wise Details of 111 Waterways as National Waterways through National Waterways Act, 2016 to Promote Inland Water Transport (IWT) in the Country as on 12-04-2016 - Meghalaya",3edfb9d4-76f4-412a-962b-b44877558a24,2024-11-03,328,0
23,"Crop-wise Details of Quantity Transported/ Stored under Mission for Integrated Development of Horticulture (MIDH) scheme (in Reply to Unstarred Question on 26 July, 2024) - Mizoram",2de0e410-b6f7-4795-95a8-8b1116bcdf50,2024-11-03,431,0
24,Year-wise Total Quantity Transported/ Stored under Mission for Integrated Development of Horticulture (MIDH) scheme from 2020-21 to 2024-25 - Nagaland,dd41785f-7fbd-446f-8399-2a31e40abe10,2024-11-03,320,0
25,"Year-wise Detials of Action taken against Illegal Mining and Storage, Transportation of Minerals from 2019-20 to 2023-24 - Odisha",e8f1388d-f857-4a73-8ea4-4f4222c5355b,2024-05-08,228,0
26,"Project-wise Details of Development of the Inland Water Transport (IWT) Infrastructure on National Waterways in the North-Eastern Region (NER) (in Reply To Unstarred Question On 25 July, 2023) - Punjab",cfef283a-50bc-47d0-a217-f946d621db3a,2024-04-14,200,0
27,Year-wise Budgetary outlay of the Ministry under Road Transport and Safety from 2018-19 to 2022-23 - Rajasthan,6353c594-3fe4-4472-8cfd-c84aabadb01b,2024-04-14,277,0
28,State/UT-wise Details of Fund Released and Utilization under Nirbhaya Framework for Safety of Women on Public Transport from 2017-18 to 2023-24 - Sikkim,adf2bf7c-85d9-4df9-b30f-6f90377a71e7,2024-04-08,68,0
29,Year-wise Details of Funds Utilized by the Ministry for various Road Transport and Road Safety Schemes in the Country from 2018-19 to 2022-23 - Tamil Nadu,e6d3c89a-79f4-4512-8ec4-906babc68cd7,2024-03-22,461,0
30,State/UT-wise Total Number of Road Accidents and Persons Killed in Road Accidents on National Highways during 2015 and 2016 (From: Ministry of Road Transport and Highways) - Telangana,0ea0c67b-57ef-4a2d-9bc0-ab0ddf88bb70,2023-12-14,418,0
31,State/ UT-wise Details of Funds allocated forMmaintenance and Repair of National Highways (NHs) during (in reply to Unstarred Question for 24-07-2017 (From: Ministry of Road Transport and Highways) - Tripura,3dc4ed16-00e4-4f40-ad1c-7a204378d666,2023-12-14,196,0
32,State/ UT-wise Feasibility Studies For New Road Over Bridge (ROBs) (in reply to Unstarred Question for 24-07-2017) (From: Ministry of Road Transport and Highways) - Uttar Pradesh,d8cfa551-1170-45cd-9f0c-693a3fd2230d,2023-12-14,71,0
33,State/ UT-wise Details of Allocation of Funds for Maintenance and Repair (M&R) of National Highways (NHs) from 2014-15 to 2016-17 (From: Ministry of Road Transport and Highways) - Uttarakhand,bc2d3540-c56a-48f3-9e9a-f512737ce297,2023-12-14,379,0
34,State/ UT-wise Details of Maintenance of National Highways (NHs) (in reply to Unstarred Question for 24-07-2017) (From: Ministry of Road Transport and Highways) - West Bengal,be5877a4-5851-4e28-a2a9-3a0b45677cc4,2023-12-14,393,0
35,The details of State Roads approved In-Principle as new National Highways(NHs) in the State of Himachal Pradesh (in reply to Unstarred Question for 24-07-2017) (From: Ministry of Road Transport and Highways),3c38d51c-27cf-4f5d-810c-16830ef42b78,2023-12-14,134,0
